Spectrum Analyzer Data File		
2015/4/29 15:31		
		
Frequency (Hz)	Average Amplitude	Max Amplitude
250.3234863	323.1214	554.57855
253.0151367	407.81543	1022.0959
255.7067871	227.67656	483.75253
258.3984375	260.43033	570.2565
261.0900879	287.53577	619.14624
263.7817383	361.70813	712.19745
266.4733887	244.66013	429.06665
269.1650391	308.66162	574.4238
271.8566895	203.03317	438.53955
274.5483398	700.30115	2237.7864
277.2399902	656.0047	1985.5747
279.9316406	422.98334	1005.615
282.623291	313.58334	689.11523
285.3149414	348.40128	592.78577
288.0065918	236.10101	372.379
290.6982422	229.17749	414.4915
293.3898926	260.4875	425.73526
296.081543	349.51077	636.1909
298.7731934	260.561	641.4094
301.4648438	302.04297	532.76373
304.1564941	365.78976	805.3893
306.8481445	530.4145	1324.3308
309.5397949	356.98865	935.06635
312.2314453	394.0982	779.6023
314.9230957	402.22235	986.9555
317.6147461	655.72345	1654.2826
320.3063965	754.73035	2297.7546
322.9980469	620.9706	1689.9749
325.6896973	395.3148	946.1727
328.3813477	320.05142	572.5597
331.072998	257.82776	348.48593
333.7646484	555.2366	841.2326
336.4562988	350.61615	599.76294
339.1479492	360.83292	612.316
341.8395996	383.60364	567.2385
344.53125	406.9187	940.65765
347.2229004	264.39523	527.8799
349.9145508	415.19647	826.23254
352.6062012	516.08704	1049.9376
355.2978516	377.16425	679.03937
357.989502	550.6468	1169.7394
360.6811523	646.28265	1478.0742
363.3728027	776.416	2498.549
366.0644531	1160.2539	3862.3223
368.7561035	1281.9664	3685.939
371.4477539	715.6912	2104.1619
374.1394043	591.33777	1334.5099
376.8310547	662.37506	1401.1128
379.5227051	446.05484	581.8301
382.2143555	725.3768	1373.0305
384.9060059	513.49567	842.4662
387.5976562	593.7487	1228.8375
390.2893066	420.61774	620.05304
392.980957	587.71893	1221.9199
395.6726074	535.51843	1364.783
398.3642578	433.9415	880.2361
401.0559082	500.29517	1272.201
403.7475586	663.4968	2073.2852
406.439209	550.28876	776.105
409.1308594	516.1174	1149.6191
411.8225098	1148.9	1990.4567
414.5141602	1241.5703	3350.599
417.2058105	997.18585	1421.3143
419.8974609	893.8585	1845.7247
422.5891113	365.5239	749.42804
425.2807617	472.7316	873.9924
427.9724121	521.99194	1174.1389
430.6640625	903.56665	2472.1362
433.3557129	928.1995	2620.556
436.0473633	802.1071	1928.0797
438.7390137	872.7289	2508.9102
441.4306641	926.1734	2316.376
444.1223145	1291.8778	2838.8677
446.8139648	801.1873	1902.3975
449.5056152	1265.1826	3630.0544
452.1972656	1123.5516	2541.3896
454.888916	378.40475	644.0928
457.5805664	583.33	986.7816
460.2722168	639.66656	1143.744
462.9638672	786.12317	1663.8394
465.6555176	564.6235	1122.9335
468.347168	928.5839	1738.2775
471.0388184	660.2661	1432.9219
473.7304688	807.9837	2027.0502
476.4221191	300.0457	458.42862
479.1137695	485.2302	1281.8799
481.8054199	385.96942	743.54987
484.4970703	414.3552	1188.4814
487.1887207	450.53296	1156.4462
489.8803711	382.87512	732.78143
492.5720215	495.72925	866.2942
495.2636719	609.51953	1209.6188
497.9553223	422.7927	642.07135
500.6469727	655.06256	1046.6824
503.338623	871.9178	2408.9995
506.0302734	892.55176	1889.101
508.7219238	905.97205	1596.922
511.4135742	911.03534	1488.9291
514.1052246	224.9795	390.49036
516.796875	485.67667	1219.8893
