Class,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,Result
T164,8260.238638,8387.494615,7954.670517,8383.856863,7176.909696,5491.828656,4439.263707,3856.156576,4842.241401,4235.681327,514.3216747,500.2916037,461.3903415,520.7796317,463.0212237,375.1849423,332.9710312,397.817517,440.9451531,338.9924437,M
T165,15226.58473,17668.71225,14716.87622,16206.05712,15688.16826,13786.4831,9106.335108,7739.352517,7074.161677,7698.169187,1101.333397,949.9911608,865.9851987,810.685127,732.0624737,568.6595299,607.9968391,580.0832384,545.451436,518.4508474,M
T166,9451.615885,7100.095321,7284.554836,8080.313931,8934.642357,7052.417181,5807.488997,4657.067792,4941.230719,4292.147667,755.5436734,772.6222127,638.2694711,669.3647801,504.6407013,417.9340022,356.1740089,330.7978861,361.756911,318.0560649,M
T167,10271.34052,10490.13275,10658.31953,12710.21917,12039.27777,10703.73417,9130.928239,6374.50733,6343.219949,5200.827619,861.6516394,841.5765866,735.9865635,619.6843502,555.2328356,484.2329187,486.0132376,579.002442,525.3753934,452.7714141,M
T168,13999.00235,16107.44363,13952.12059,11341.87581,11740.86216,8883.494374,6871.091341,5620.133852,5766.396532,6753.77622,864.2618257,795.0645916,694.2392238,722.406502,605.3208057,562.6923334,517.3747133,473.0240996,464.5080519,470.7527899,M
T169,12483.42352,13500.09858,13624.41221,11775.46693,12818.979,12579.82457,8630.193619,6587.514334,6620.414319,6796.15849,953.6309067,951.4699371,806.9773786,742.8505384,737.5440581,611.6575404,571.6070233,635.5974405,602.900242,556.6226304,M
T170,7484.070883,7029.029951,6199.127603,7229.482383,7605.550487,5612.80167,4976.802438,3967.846569,4309.803348,3866.394143,616.4681208,655.9756862,499.2162337,479.4571948,416.7094136,378.7873088,381.6641015,344.6943562,355.4341762,315.4318538,M
T171,9899.700468,9402.362036,8539.134306,6521.192113,5824.926117,6192.335372,4884.760902,4621.059435,5219.092143,3996.032959,638.4274179,679.9492347,518.3652471,466.644364,382.9647336,350.2808396,363.0581762,372.681871,374.5770628,360.445428,M
T172,11197.28544,13838.95002,13170.49978,12234.45328,11123.32833,8768.66512,6160.053027,5849.039332,5623.569804,5762.948911,781.1915122,737.7857115,669.5136334,649.417906,555.5953619,586.690862,453.9966416,411.2453469,372.434363,398.631005,M
T173,7120.729585,8044.706664,7529.08424,7655.332064,7939.148697,5830.305147,4932.949305,4795.843747,5112.176875,4964.76893,689.4741519,576.9196246,534.882402,531.3243268,482.6714924,402.8713911,386.3747068,403.5326763,388.670301,382.5987711,M
T174,9913.285337,16131.54822,15839.79938,14823.22826,13366.8628,11099.16592,9210.466263,7940.559704,6795.178363,5571.78458,734.7866847,674.058451,713.7859147,697.6339066,546.0540008,501.7104575,471.8285983,527.5929593,448.1724712,449.2401462,M
T175,10269.81788,9156.752182,9692.310902,10773.12843,8289.709868,6415.79641,4552.252881,4854.830073,4912.294045,5033.479226,824.4313861,683.4095171,658.9931989,578.0022032,485.0554668,452.3357764,390.7299058,391.5859241,355.0971787,359.7772647,M
T176,7140.125132,7415.937328,8700.945282,10035.91658,10819.49841,7426.186603,6964.096813,6305.046368,6685.340872,6643.127395,771.8559326,694.092145,600.1584004,514.5747288,502.3616558,415.1420805,342.573966,360.8295529,320.8157049,340.7581546,M
T177,5900.695434,6203.316267,7616.903112,9276.258116,8019.855974,5843.519255,5199.517214,5302.152854,4582.87748,3541.992174,746.8084855,498.5068375,492.3166254,467.77364,407.8288494,342.2561426,285.1110553,356.3336211,330.8529477,314.3619841,M
T178,6466.708541,4802.086229,4182.973715,4759.5385,5283.865587,5002.746453,3864.201305,3446.832343,3364.788067,2891.109061,500.5378828,429.7766718,400.2482456,355.4249931,308.0411544,244.9313048,222.7802794,224.8184096,250.7283722,256.4832084,M
T179,9413.745131,11360.83752,10122.56489,10777.74295,9109.876998,6814.138636,6658.256854,5694.656831,5698.820428,5420.310556,770.8120256,657.7732088,570.2534695,600.4388657,609.9702664,471.5036289,430.578481,421.1855622,407.6030408,391.6835368,M
T180,9695.537648,9172.373885,8211.049927,8122.278626,7018.805092,6490.20065,5172.033607,4279.339462,4345.65245,4477.71598,636.377388,583.4003226,453.0775683,458.4092962,421.3693539,379.1888466,359.0000613,347.6153534,309.1851274,322.1010202,M
T181,6343.550384,6227.835236,7300.4786,9370.03577,9884.110557,8179.080623,6720.133697,6681.794125,5400.28976,5946.779312,616.497086,561.3692242,462.5262697,444.2024314,393.3028472,328.7738112,302.4959883,296.1115791,298.4707687,303.5169255,M
T182,8394.715498,8175.089596,7719.673167,7090.798837,6151.983199,5718.821323,3875.024059,4230.415291,4262.599485,4189.550986,605.7047817,514.5126717,451.2577465,411.5205232,381.596904,328.7954078,330.9448834,321.7733031,310.863154,285.2947504,M
T183,8624.047576,9312.756077,8227.282975,7944.915364,8410.250002,6332.358783,4779.986248,5251.613577,5739.067855,5495.123853,764.232001,647.9350861,513.1901658,504.6130868,446.5533484,388.4827077,376.3785941,319.7007114,338.1046986,349.1710855,M
T184,9338.579924,9370.260063,8225.481093,8909.514844,8640.319822,7095.478091,6048.596352,6644.649339,6443.580604,4842.038428,733.1084425,760.1689795,645.2840038,554.9376068,455.321323,407.2702219,401.4816057,416.1717866,371.8874966,390.2844417,M
T185,8668.122979,9456.269241,10181.71114,9141.379093,10511.0935,10701.50841,7736.161293,6733.015021,5521.768432,5477.771835,745.5725534,667.8001637,666.159601,655.8717212,544.0324331,495.6141731,401.7909462,351.5907934,391.606492,362.8871872,M
T186,8369.37513,11534.77856,12473.45539,11255.512,12377.03371,9386.915994,7145.866472,6884.727391,6662.840039,5641.612577,807.6918135,835.7101754,700.4186711,737.880953,730.3736903,688.0177566,524.6503722,545.0240138,594.3637134,567.7190449,M
