Spectrum Analyzer Data File				
2015/4/14 18:23				
				
Frequency (Hz)	Average Amplitude	Max Amplitude		
1100.88501	233.0479	480.44696		
1103.57666	354.14963	483.0579		
1106.268311	317.06412	774.4257		
1108.959961	577.7663	842.1191		
1111.651611	475.1993	658.6568		
1114.343262	387.2309	780.5352		
1117.034912	446.75488	611.87714		
1119.726563	449.62003	766.00433		
1122.418213	477.94843	591.1741		
1125.109863	377.365	556.5974		
1127.801514	542.9234	1066.0402		
1130.493164	376.66055	770.9331		
1133.184815	378.13226	662.92596		
1135.876465	373.99008	461.80838		
1138.568115	412.81482	570.83765		
1141.259766	526.5018	1247.9346		
1143.951416	474.81927	1060.2332		
1146.643066	643.5381	791.4361		
1149.334717	474.68295	631.70105		
1152.026367	267.1679	401.4093		
1154.718018	596.6915	1191.3821		
1157.409668	425.65195	904.1027		
1160.101318	181.1188	498.75302		
1162.792969	536.0428	736.08124		
1165.484619	491.1864	810.2823		
1168.17627	499.42752	761.0236		
1170.86792	374.64246	575.61536		
1173.55957	393.37207	553.0661		
1176.251221	257.2182	446.91736		
1178.942871	446.39157	781.0699		
1181.634522	413.74808	695.6959		
1184.326172	415.91132	835.53375		
1187.017822	424.16064	717.8657		
1189.709473	368.75354	701.8981		
1192.401123	207.7631	490.98227		
1195.092773	471.1378	752.1322		
1197.784424	312.68848	495.48224		
1200.476074	347.005	581.7129		
1203.167725	459.77945	619.6591		
1205.859375	395.04602	687.28687		
1208.551025	359.45352	616.3331		
1211.242676	390.79486	539.6923		
1213.934326	430.86853	617.2642		
1216.625977	401.1902	512.99725		
1219.317627	330.42038	596.2704		
1222.009277	397.66284	625.677		
1224.700928	262.5744	375.1476		
1227.392578	324.24664	592.6586		
1230.084229	247.66441	372.63678		
1232.775879	332.84564	611.5194		
1235.467529	466.07614	782.0032		
1238.15918	383.60043	601.11273		
1240.85083	274.97305	429.79773		
1243.542481	304.97546	417.4163		
1246.234131	431.61966	649.48206		
1248.925781	401.66617	647.22156		
1251.617432	329.19193	538.2402		
1254.309082	380.74026	529.143		
1257.000732	401.986	601.0038		
1259.692383	256.35843	434.976		
1262.384033	270.63416	616.44336		
1265.075684	337.3306	610.7002		
1267.767334	277.2819	518.1389		
1270.458984	289.09235	420.96265		
1273.150635	238.16669	370.45877		
1275.842285	325.0465	730.2057		
1278.533936	240.40164	403.00012		
1281.225586	326.463	450.2192		
1283.917236	346.27457	1061.5745		
1286.608887	260.14142	433.01535		
1289.300537	464.0699	745.06323		
1291.992188	418.00558	529.7306		
1294.683838	274.96686	505.33286		
1297.375488	208.05247	294.32864		
1300.067139	266.06967	345.68475		
1302.758789	295.48633	464.53174		
1305.45044	323.36978	712.9746		
1308.14209	360.03214	560.37897		
1310.83374	272.57608	527.1503		
1313.525391	250.02104	458.30975		
1316.217041	351.8566	474.27655		
1318.908691	311.48254	454.2032		
1321.600342	212.3618	467.35446		
1324.291992	441.37558	580.40137		
1326.983643	354.39258	522.94385		
1329.675293	263.07877	384.66788		
1332.366943	351.10706	508.5194		
1335.058594	308.0754	460.54572		
1337.750244	244.7895	301.99802		
1340.441895	341.60663	662.3372		
1343.133545	327.3488	612.0354		
1345.825195	367.41495	572.79224		
1348.516846	347.6352	421.15448		
1351.208496	440.87946	762.46625		
1353.900147	318.5875	542.2882		
1356.591797	228.84624	328.8766		
