Spectrum Analyzer Data File		
2015/4/14 18:24		
		
Frequency (Hz)	Average Amplitude	Max Amplitude
791.3452148	636.0094	823.3317
794.0368652	647.1238	838.4149
796.7285156	748.75415	939.0351
799.420166	759.9681	1173.2869
802.1118164	596.7079	795.01697
804.8034668	1137.9591	2934.8794
807.4951172	693.3624	1116.8591
810.1867676	854.6734	1370.5479
812.878418	999.8953	1306.0845
815.5700684	535.82715	918.96313
818.2617188	774.2339	1253.5131
820.9533691	746.7044	962.09595
823.6450195	700.68994	1117.1586
826.3366699	945.96356	1294.8123
829.0283203	834.21387	1375.6265
831.7199707	946.9506	1161.825
834.4116211	594.8319	874.98535
837.1032715	810.06335	1208.3792
839.7949219	780.0673	1123.7726
842.4865723	447.17096	709.70166
845.1782227	1022.9072	1820.6666
847.869873	650.27594	872.4715
850.5615234	778.6724	1351.4261
853.2531738	1085.2366	2426.8464
855.9448242	785.4561	1106.7958
858.6364746	551.99316	933.62036
861.328125	923.5844	1799.3724
864.0197754	844.31177	1390.5421
866.7114258	958.49677	1396.4403
869.4030762	1445.2731	2702.9072
872.0947266	830.4093	1288.7426
874.786377	963.44196	1799.4733
877.4780273	974.0218	1115.1594
880.1696777	959.23737	1588.1101
882.8613281	978.2508	1862.3157
885.5529785	775.6205	1263.2545
888.2446289	1142.3954	1466.3317
890.9362793	1265.1543	1571.1737
893.6279297	1040.1626	1586.9573
896.3195801	732.985	1090.8123
899.0112305	1148.8298	1572.7249
901.7028809	798.9569	1624.8997
904.3945312	600.30945	902.3483
907.0861816	928.14557	1245.2018
909.777832	1029.0575	1963.214
912.4694824	494.1566	773.9918
915.1611328	872.4922	1326.7152
917.8527832	738.7904	2017.4087
920.5444336	741.4547	1066.7943
923.236084	705.59216	1405.7732
925.9277344	555.00354	821.11774
928.6193848	1034.3037	1673.883
931.3110352	927.25964	2043.7577
934.0026855	893.01373	1959.0593
936.6943359	1295.4319	2984.7822
939.3859863	728.21484	1367.1643
942.0776367	1012.3244	1440.5426
944.7692871	687.4912	969.6923
947.4609375	745.92993	1042.9619
950.1525879	787.4808	943.84827
952.8442383	757.95306	1391.8167
955.5358887	494.0238	840.40015
958.2275391	1090.7238	1511.7122
960.9191895	612.5355	1168.9916
963.6108398	846.187	1547.5045
966.3024902	513.05566	658.71
968.9941406	643.55975	1215.4215
971.685791	1016.68506	1312.1926
974.3774414	589.88116	1490.0298
977.0690918	1233.6278	2146.8384
979.7607422	847.59753	1132.5925
982.4523926	754.9154	1470.3972
985.144043	482.04648	767.4181
987.8356934	929.4281	1161.6898
990.5273438	456.14722	873.2319
993.2189941	824.34094	1158.8345
995.9106445	464.32877	844.47614
998.6022949	555.77026	806.53644
1001.293945	808.3758	1272.7715
1003.985596	410.2161	1078.2461
1006.677246	1093.8726	1306.8083
1009.368897	554.4418	878.5624
1012.060547	544.90607	1026.3319
